hardware,model_name,inference_time
CPU,base,21.660802125930786
CPU,tiny,13.206920623779297
CPU,base_en,21.361286163330078
CPU,small,68.58541202545166
CPU,medium_en,182.93318343162537
CPU,medium,208.516672372818
CPU,tiny_en,11.03101110458374
CPU,small_en,63.11183047294617
L4,large,17.053537368774414
L4,large_v3_turbo,12.753075122833252
L4,base,3.0807747840881348
L4,tiny,2.324882745742798
L4,base_en,3.5278918743133545
L4,large_v2,13.632133722305298
L4,turbo,12.94947624206543
L4,small,5.961212396621704
L4,medium_en,9.88975739479065
L4,medium,10.232056617736816
L4,tiny_en,2.3860177993774414
L4,small_en,6.033236026763916
L4,large_v1,14.772187948226929
L4,large_v3,16.880274772644043
T4,large,17.93734383583069
T4,large_v3_turbo,15.296590805053711
T4,base,3.0863418579101562
T4,tiny,5.9524712562561035
T4,base_en,3.245274543762207
T4,large_v2,17.78134846687317
T4,turbo,15.436387300491333
T4,small,6.188873767852783
T4,medium_en,10.738306522369385
T4,medium,10.115556478500366
T4,tiny_en,2.3899734020233154
T4,small_en,5.757513046264648
T4,large_v1,18.704167127609253
T4,large_v3,20.733823776245117
A100,large,15.974272012710571
A100,large_v3_turbo,10.407862901687622
A100,base,2.9791369438171387
A100,tiny,5.5574681758880615
A100,base_en,3.253068208694458
A100,large_v2,13.1628737449646
A100,turbo,10.528844594955444
A100,small,5.691254615783691
A100,medium_en,9.522347688674927
A100,medium,9.879952907562256
A100,tiny_en,2.333411931991577
A100,small_en,5.790071487426758
A100,large_v1,14.084394931793213
A100,large_v3,16.515378952026367
